"Rank","Name","Rep","Post_Count","Followers","Following","Posting","Curation","Steem","Steem_Power","Steem_Dollars","Estimated_Value"
"#1","steemit",35,"1","819","0","3,548","0","500,001","70,782,242","8,538","$62,028,960"
"#2","poloniex",25,"0","693","0","0","0","26,674,719","2,131","1,413,450","$24,368,974"
"#3","bittrex",25,"0","600","0","0","0","8,346,061","2,131","663,648","$7,807,252"
"#4","freedom",25,"0","477","0","0","9,738,430","1","7,191,402","3","$6,257,170"
"#5","steem",25,"0","168","0","0","0","42,153","4,918,604","734","$4,316,907"
"#6","dan",68.6,"361","4,271","3","45,888,840","90,918,457","227,261","4,166,059","709","$3,823,164"
"#7","ned",66.2,"606","6,164","5,574","8,167,249","734,142,187","48,000","3,552,853","5,708","$3,137,741"
"#8","blocktrades",69.8,"915","4,492","9","69,348,777","356,625,867","87,884","2,772,951","55,658","$2,534,771"
"#9","val-a",55.2,"59","1,128","38","350,994","115,247,765","0","2,545,911","0","$2,215,171"
"#10","mottler",25,"0","250","0","0","0","0","2,233,557","0","$1,943,396"
"#11","ben",36.2,"1","451","0","335","0","644,065","1,558,339","1","$1,916,290"
"#12","abit",69.4,"2,797","3,647","3,346","16,350,556","91,311,387","272","1,964,750","300","$1,709,992"
"#13","databass",25,"0","188","0","0","0","0","1,693,189","0","$1,473,227"
"#14","hendrikdegrote",50.5,"31","1,283","28","70,455","20,108,742","0","1,654,271","35","$1,439,393"
"#15","jamesc",59.9,"472","1,274","764","1,969,118","16,257,828","140","1,547,382","239","$1,346,680"
"#16","michael-b",25,"0","276","0","0","5,853,264","0","1,492,033","0","$1,298,203"
"#17","val-b",25,"10","379","0","0","87,813,652","0","1,479,679","0","$1,287,454"
"#18","ranchorelaxo",28.1,"1","116","2","162","0","0","1,293,464","0","$1,125,430"
"#19","proskynneo",57.8,"102","818","32","2,678,322","5,521,460","14,882","1,134,543","0","$1,000,103"
"#20","thejohalfiles",59.2,"1,444","2,117","2,027","406,577","22,417,609","3,071","1,110,855","5","$969,221"
"#21","smooth",68.1,"3,426","1,853","0","13,398,281","287,388,675","134","1,087,305","55","$946,215"
"#22","imadev",25,"0","129","0","0","1,968","788,298","215,400","71,103","$931,546"
"#23","steemit2",25,"0","133","5","0","53","1,022,874","2,522","4,967","$896,256"
"#24","dantheman",73.5,"1,578","5,678","30","104,731,832","403,830,655","964,296","52","33","$839,097"
"#25","xeldal",60.3,"158","1,581","1,122","8,692,729","64,738,995","0","926,781","16","$806,396"
"#26","roadscape",61.7,"169","1,454","1,216","14,524,698","23,642,647","52","918,753","3,066","$801,955"
"#27","firefire",25,"0","45","0","0","0","893,204","1","1","$777,169"
"#28","created",25,"0","300","0","0","8,378,234","0","836,919","0","$728,195"
"#29","tombstone",63.1,"253","1,131","639","6,136,085","80,344,831","678,857","156,006","1","$726,406"
"#30","arhag",67.5,"306","1,831","34","52,845,299","5,635,957","5,516","802,990","4,306","$707,000"
"#31","jamesc1",47.5,"41","231","25","33,462","514,307","571","794,629","1","$691,896"
"#32","michael-a",25,"0","211","0","0","3,123,589","0","746,215","0","$649,274"
"#33","safari",25,"0","90","0","0","0","0","725,658","0","$631,388"
"#34","riverhead",61.2,"212","1,480","62","7,558,467","29,884,331","137","679,813","0","$591,617"
"#35","jaewoocho",25,"0","146","0","0","1,970,321","87,964","586,168","0","$586,555"
"#36","adm",60.7,"197","303","0","890,733","1,365,626","207","634,560","125","$552,407"
"#37","batel",25,"0","155","0","0","0","0","633,923","0","$551,570"
"#38","pharesim",68.3,"1,005","2,855","1,278","38,668,601","88,326,163","64,359","502,253","233","$493,194"
"#39","witness.svk",33.5,"3","515","3","662,339","20,251,629","109,896","446,939","1","$484,497"
"#40","transisto",64.2,"687","1,001","43","2,525,452","4,503,121","63","546,973","1,534","$477,227"
"#41","fyrstikken",72.9,"3,283","5,674","4,568","57,811,340","18,116,425","0","522,337","21,155","$471,807"
"#42","trafalgar",65.6,"2,772","4,195","48","18,106,652","13,403,903","620","536,556","40","$467,424"
"#43","tamim",68.6,"1,391","863","20","10,099,451","11,263,524","0","528,847","6,102","$465,142"
"#44","engagement",54.8,"91","666","1","759,478","17,686,754","0","533,058","1","$463,809"
"#45","bob",25,"0","94","0","0","0","0","521,335","2","$453,610"
