"Rank","Name","Rep","Post_Count","Followers","Following","Posting","Curation","Steem","Steem_Power","Steem_Dollars","Estimated_Value"
"#46","openledger",25,"0","111","0","0","0","475,842","3,473","39,853","$449,689"
"#47","wackou",58.3,"30","1,164","60","2,150,769","25,934,685","0","504,857","0","$439,271"
"#48","steemed",63.9,"161","1,257","0","17,146,102","96,129,007","0","499,171","17","$434,338"
"#49","renohq",58.6,"275","937","918","1,279,977","2,783,678","116","477,692","206","$415,905"
"#50","alice",25,"0","136","0","0","69","0","461,550","0","$401,590"
"#51","fuzzyvest",62.8,"1,095","1,223","77","6,632,660","49,046,813","0","446,980","31","$388,938"
"#52","bitcube",60.1,"168","388","0","5,988,918","593,219","7","414,653","2,282","$362,661"
"#53","goku1",25,"0","73","2","0","27,058","0","413,894","0","$360,125"
"#54","amcq",57,"23","224","3","13,350","34,908","410,844","4","264","$357,691"
"#55","gavvet",76.7,"3,150","4,431","3,540","239,416,095","42,678,038","0","405,021","2,382","$354,356"
"#56","freewallet",25,"0","53","0","0","0","404,011","23","0","$351,546"
"#57","recursive",62.4,"641","713","340","2,672,332","17,219,343","273","397,434","649","$346,572"
"#58","glitterfart",65.2,"972","1,660","37","8,436,593","19,317,090","2","389,963","1,054","$340,168"
"#59","newsflash",43.5,"11","133","2","35,358","984,565","10","351,832","38","$306,165"
"#60","fulltimegeek",63.1,"1,504","1,557","1,466","2,325,492","3,781,673","36","351,265","11","$305,672"
"#61","slowwalker",68.7,"3,453","2,566","2,349","20,963,893","15,893,817","0","341,407","151","$297,179"
"#62","alvaro",25,"0","84","0","0","0","0","336,929","0","$293,159"
"#63","azeroth",25,"0","103","0","0","0","131,078","184,832","20,966","$292,043"
"#64","donkeypong",72.8,"2,768","4,005","91","164,848,075","19,805,766","0","322,753","17","$280,838"
"#65","rainman",60.3,"129","811","90","4,723,909","101,811,468","137,955","184,101","0","$280,218"
"#66","systema",25,"0","110","0","0","344,116","0","298,686","0","$259,884"
"#67","honeybeee",53.7,"31","253","20","242,370","249,004","1,217","289,189","64","$252,732"
"#68","thecyclist",46.7,"13","257","0","119,464","7,122,875","0","286,189","0","$249,011"
"#69","thisvsthis",46,"107","429","116","9,381","10,768,800","0","268,545","1","$233,659"
"#70","fminerten",25,"0","209","0","0","3,992,449","0","267,794","1","$233,005"
"#71","wang",-16.2,"3,663","668","0","229,184","247,926,568","252,669","1","30","$219,871"
"#72","steemstermon",25,"1","53","0","0","7,082","129,205","122,587","0","$219,082"
"#73","minority-report",25,"1","0","0","0","0","0","250,169","0","$217,670"
"#74","enki",52.2,"40","508","19","152,892","74,805,380","5","242,791","483","$211,651"
"#75","alot",25,"0","55","0","0","0","237,125","370","0","$206,641"
"#76","creator",58.7,"16","222","6","3,867,425","1,306,250","2,948","230,648","72","$203,308"
"#77","xaero1",51.2,"1,236","557","419","141,794","1,102,764","0","233,428","0","$203,103"
"#78","julianita",56,"204","328","38","694,517","1,742,417","35,061","193,648","525","$199,427"
"#79","lafona-miner",25,"0","151","0","0","15,196,907","57,954","169,725","0","$198,101"
"#80","abdullar",69.4,"2,884","2,565","665","20,631,407","15,428,943","21,939","203,418","2,244","$197,919"
"#81","skan",48.3,"214","445","459","86,495","1,225,764","0","226,944","87","$197,533"
"#82","dele-puppy",52.3,"19","151","0","3,347,873","0","205,747","17,186","0","$193,972"
"#83","nextgencrypto",65.2,"160","1,309","0","15,171,477","37,941,110","372","192,432","26,332","$189,324"
"#84","arsahk",25,"0","113","0","0","70,789","0","215,351","0","$187,374"
"#85","bhuz",59,"36","593","0","1,847,262","1,562,268","1","210,233","1","$182,923"
"#86","nanzo-scoop",70.1,"1,245","1,782","1,140","58,898,727","18,274,454","15,179","187,265","204","$176,311"
"#87","hr1",59.4,"155","1,424","43","2,347,385","30,267,895","6,092","195,945","79","$175,855"
"#88","another",25,"0","57","0","0","0","199,218","28","0","$173,362"
"#89","arama",50.9,"60","1,071","39","76,680","11,045,952","23","198,222","3","$172,494"
"#90","smooth-a",25,"0","37","0","0","46","2,088","171,245","11,380","$160,137"
"#91","curie",75.2,"315","3,121","0","165,332,911","20,217,856","2,238","179,771","0","$158,364"
"#92","ramta",63.3,"548","800","649","5,018,072","10,588,350","34","180,401","920","$157,749"
"#93","roelandp",70.5,"1,021","3,765","2,468","89,410,645","8,883,432","4","181,270","5","$157,728"
"#94","snowflake",64.3,"1,315","893","49","3,291,679","11,106,475","20","176,310","1","$153,424"
"#95","livingfree",25,"1","235","2","0","1,150,056","20","175,473","0","$152,695"
"#96","craig-grant",75,"6,894","5,136","20","55,238,654","7,350,490","0","173,654","340","$151,373"
"#97","coldstorage1",25,"0","63","0","0","86,177","4,382","168,977","1","$150,839"
"#98","nnnn",25,"0","32","0","0","0","141,379","31,406","0","$150,339"
"#99","someonewhoisme",54.2,"342","529","25","270,567","10,049,517","20","172,491","11","$150,109"
"#100","onceuponatime",70.7,"2,195","2,146","88","25,071,729","17,254,118","0","172,027","47","$149,718"
"#101","freeyourmind",-3,"457","572","16","367,612","12,715,339","20","171,759","153","$149,588"
"#102","kidrock",25,"0","47","0","0","0","0","171,157","0","$148,922"
"#103","cryptoctopus",72.1,"2,133","3,288","496","138,465,612","14,833,361","0","165,052","0","$143,610"
"#104","steemaccess",25,"5","223","2","0","5,858,904","0","164,262","6","$142,927"
"#105","sean-king",68.2,"1,122","1,493","1,180","27,195,296","5,528,309","10","163,685","322","$142,693"
"#106","neoxian",67.6,"3,577","2,010","1,912","6,869,946","5,340,585","0","162,480","528","$141,805"
"#107","tyler",25,"0","44","0","0","0","0","161,222","0","$140,278"
"#108","satoshifund",41.7,"15","363","176","1,310","5,175,230","160,000","37","0","$139,246"
"#109","kushed",61.2,"70","1,010","36","8,999,857","23,200,436","72,125","84,821","267","$136,776"
"#110","teamsmooth-mm",25,"0","34","0","0","0","101,133","831","57,465","$135,786"
"#111","ioc",56.8,"43","564","47","469,062","9,989,914","0","155,047","97","$134,984"
"#112","hiva",25,"0","44","0","0","0","0","149,484","0","$130,065"
"#113","steempty",57,"97","734","286","485,995","24,264,292","1,000","147,539","3","$129,244"
"#114","smooth-b",25,"0","37","0","0","105","3,016","141,902","1","$126,092"
"#115","dang007",56.2,"550","169","6","392,084","148,203","0","142,828","19","$124,289"
"#116","done",25,"0","258","62","0","1,946,569","0","141,791","1","$123,371"
"#117","eeks",63.7,"986","840","572","7,847,130","3,141,673","0","141,216","140","$122,986"
"#118","kevinwong",74.6,"6,868","4,174","3,613","111,910,238","7,521,086","0","141,048","0","$122,724"
"#119","gtg",63.3,"2,003","1,580","1,192","4,217,441","1,884,806","0","140,933","0","$122,624"
"#120","samupaha",66.7,"1,190","787","645","22,988,868","5,860,759","121,059","19,604","2","$122,391"
"#121","lifewordmission",62.2,"429","229","0","3,132,588","3,333,705","0","140,419","0","$122,177"
"#122","bytemaster",25,"1","81","0","43","252","139,185","0","0","$121,103"
"#123","delegate.lafona",53.8,"11","232","0","227,677","900,150","18,356","118,130","229","$118,943"
"#124","node1",25,"0","34","0","0","0","0","134,641","0","$117,150"
"#125","sigizzang",65.1,"2,002","465","86","6,588,256","1,073,824","0","123,935","7,083","$113,636"
"#126","htooms",59.5,"501","1,419","923","4,541,658","5,989,575","95,460","32,795","1,874","$113,129"
"#127","vcelier",65.5,"964","869","48","5,907,264","6,163,063","0","129,627","0","$112,787"
"#128","minorityreport",25,"0","68","11","0","208,851","0","127,255","0","$110,724"
"#129","figaro",25,"0","45","0","0","0","0","125,748","0","$109,412"
"#130","cass",69.5,"417","1,386","46","73,935,861","2,673,713","0","125,206","12","$108,950"
"#131","sanghkaang",60.2,"657","755","371","1,965,823","1,884,805","0","121,342","550","$106,030"
"#132","modprobe",67.7,"699","1,235","52","24,516,438","741,441","9,003","104,670","5,246","$103,202"
"#133","oldstone",66,"1,563","915","546","8,827,467","938,805","197","117,065","33","$102,055"
"#134","virus707",58.8,"1,207","624","670","1,059,973","143,527","0","114,255","8","$99,419"
"#135","leesunmoo",68.5,"3,610","1,494","93","16,894,781","6,803,434","0","113,911","178","$99,258"
"#136","bitcointalker",25,"0","51","0","0","0","0","113,201","0","$98,495"
"#137","adsactly",52.2,"95","840","809","171,136","39,007","0","112,897","25","$98,251"
"#138","gogumacat",57.4,"619","511","145","724,978","1,065,876","0","112,852","33","$98,218"
"#139","steemship",68.6,"279","926","3","56,406,593","1,861,846","8,675","103,986","0","$98,025"
"#140","moderator",25,"0","39","0","0","0","45","112,503","0","$97,927"
"#141","oldtimer",61.2,"1,717","944","35","1,500,826","7,158,317","0","112,426","0","$97,821"
"#142","coinfund",61.3,"35","239","24","4,178,752","152,696","0","112,290","0","$97,702"
"#143","stellabelle",74.9,"11,859","4,327","1,701","187,059,568","7,082,713","0","110,188","28","$95,897"
"#144","summon",62.4,"167","863","30","2,599,992","79,978,507","0","109,967","103","$95,765"
"#145","good-karma",73.5,"3,723","5,524","2,891","93,471,609","3,790,218","0","108,492","337","$94,674"
"#146","otisbrown",62.3,"2,292","481","341","1,870,142","1,381,938","7","108,167","433","$94,476"
"#147","inv",25,"0","174","0","0","2,769,288","0","108,049","2","$94,014"
"#148","analisa",39.8,"31","603","0","3,557","5,083,320","0","107,633","2","$93,652"
"#149","lighthil",56.8,"285","384","242","729,760","638,766","0","107,178","117","$93,351"
"#150","natsu",25,"0","34","0","0","0","0","106,453","0","$92,624"
"#151","faddy",37.5,"7","77","3","346","676,232","15,052","90,890","0","$92,179"
"#152","matt-a",62.8,"1,894","993","281","4,775,210","2,205,770","0","103,960","672","$91,005"
"#153","dunia",25,"5","382","344","0","8,398,433","0","104,489","0","$90,915"
"#154","twinner",66.7,"3,327","1,685","1,651","8,247,094","10,463,888","0","102,795","459","$89,817"
"#155","rok-sivante",71.6,"2,438","2,367","87","91,845,951","9,164,709","1,816","100,450","261","$89,195"
"#156","davidding",58.2,"125","181","17","362,929","123,966","0","101,610","152","$88,534"
"#157","jejujinfarm",66.1,"2,186","1,094","1,121","6,486,668","2,897,672","771","100,540","336","$88,425"
"#158","cryptomancer",62.5,"1,377","821","245","2,162,802","1,581,407","86","100,717","562","$88,168"
"#159","vortac",58.8,"411","357","218","775,416","3,153,753","0","98,875","636","$86,551"
"#160","node2",25,"0","32","0","0","0","0","97,838","0","$85,128"
"#161","steempower",72.6,"1,060","2,560","155","135,253,920","4,171,446","0","96,287","922","$84,534"
"#162","gigafart",57.2,"768","810","198","927,495","879,279","0","96,280","0","$83,773"
"#163","cornucopia",25,"0","47","0","0","0","0","96,271","0","$83,765"
"#164","boombastic",57.2,"52","482","19","1,312,833","4,163,394","25,988","67,930","1,351","$82,823"
"#165","demotruk",64.6,"3,893","1,247","62","3,584,679","2,941,280","0","94,933","0","$82,600"
"#166","tim",25,"0","33","0","0","0","0","94,907","0","$82,578"
"#167","benjojo",70.3,"3,389","2,006","1,632","50,489,081","8,540,522","849","93,033","173","$81,827"
"#168","tradeqwik",57.7,"181","412","157","1,212,424","2,953,736","8,608","82,704","1,202","$80,434"
"#169","biggest",25,"0","55","0","0","0","275","91,432","0","$79,793"
"#170","cljg918",54.7,"784","391","131","501,509","946,878","101","90,691","114","$79,090"
"#171","topinvestor2021",45.3,"13","80","27","56,912","73,197","7,221","83,225","0","$78,696"
"#172","trevonjb",68,"766","4,766","33","14,804,076","857,016","0","89,739","255","$78,290"
"#173","anwenbaumeister",71.1,"1,235","2,581","2,117","90,525,684","5,394,019","0","89,526","286","$78,130"
"#174","eclipse",25,"0","44","0","0","0","0","89,167","0","$77,584"
"#175","jrcornel",74.3,"5,436","3,855","3,279","104,062,369","5,914,718","0","88,842","0","$77,301"
"#176","fabien",56.9,"191","725","342","1,075,091","1,181,094","14","87,951","6","$76,542"
"#177","ekitcho",60.6,"719","873","742","3,076,959","452,730","132","86,702","206","$75,722"
"#178","cylonmaker2053",60.7,"136","187","61","9,310,321","43,929","0","86,202","0","$75,003"
"#179","exyle",69.1,"3,291","1,743","57","16,933,735","3,211,665","320","84,405","1,136","$74,648"
"#180","surfyogi",60.2,"841","773","796","1,827,214","284,841","12,691","71,297","1,110","$73,987"
"#181","afew",25,"0","83","0","0","463","80,181","3,898","0","$73,156"
"#182","smooth-c",25,"0","20","0","0","17","13","83,813","47","$72,974"
"#183","ramires",47.3,"47","149","0","154,669","496,517","0","76,540","6,142","$71,628"
"#184","damarth",57.8,"204","752","351","1,238,775","1,818,861","10","82,170","83","$71,572"
"#185","layz3r",25,"0","58","9","0","3,189","29,545","52,385","0","$71,287"
"#186","hanshotfirst",73,"4,626","2,070","1,456","72,958,258","3,081,702","486","81,403","21","$71,268"
"#187","flyingmind",49.3,"27","175","52","87,524","157,489","24,628","55,604","10","$69,817"
"#188","jackkang",50.5,"125","599","439","97,926","2,500,224","19","80,097","56","$69,754"
"#189","extrospect",56.7,"460","219","92","718,465","302,748","0","78,445","71","$68,312"
"#190","iflagtrash",25,"1","108","0","0","352,002","0","76,931","1","$66,938"
"#191","smooth-e",25,"0","82","0","0","660,382","969","73,123","11","$64,475"
"#192","star",25,"0","32","0","0","0","0","73,923","0","$64,319"
"#193","cyrano",55,"19","93","1","678,595","19,536","0","55,014","18,662","$63,153"
"#194","sweetsssj",74.5,"8,799","8,034","5,038","101,600,888","2,234,209","0","59,044","13,102","$62,105"
"#195","rossco99",48,"19","356","20","30,348","7,077,512","39,487","31,619","0","$61,869"
"#196","toxic",38.9,"49","208","34","3,106","1,310,877","0","70,887","2","$61,679"
"#197","urbanoid",25,"8","158","147","0","7,422","10,000","60,603","0","$61,431"
"#198","monsternal",25,"0","35","0","0","0","0","70,522","1","$61,361"
"#199","thecryptodrive",64.8,"675","974","91","15,452,733","1,712,954","1,728","67,678","890","$61,118"
"#200","solaris",25,"0","34","0","0","0","0","69,770","0","$60,706"
"#201","inchonbitcoin",38,"15","196","32","1,297","3,460,216","0","68,181","1,300","$60,389"
"#202","teamsteem",69.1,"4,367","4,078","3,758","37,291,028","13,800,490","5,176","63,959","13","$60,164"
"#203","lofojobee",25,"0","39","0","0","933","22,956","45,447","420","$59,861"
"#204","kaylinart",73.2,"7,817","3,539","2,637","59,628,472","2,022,841","0","60,578","8,397","$59,585"
"#205","andrarchy",70.1,"1,396","2,800","166","50,633,158","605,907","0","67,654","0","$58,865"
"#206","publicworker",59.3,"311","281","80","772,803","578,716","15,305","51,648","139","$58,369"
"#207","mr11acdee",45.5,"25","106","9","11,122","219,380","56","66,767","0","$58,143"
"#208","bue",43.6,"13","752","4","4,226","4,355,586","0","65,015","0","$56,569"
"#209","lukestokes",71.6,"6,861","2,777","1,926","32,152,598","2,478,150","7,711","56,580","292","$56,178"
"#210","bayrene",49.4,"79","209","19","248,991","67,249","0","64,355","0","$55,995"
"#211","starkerz",46.8,"244","380","77","71,726","844,959","840","63,196","25","$55,737"
"#212","starky",25,"0","26","0","0","0","0","63,834","0","$55,542"
"#213","dimimp",50.8,"106","1,262","859","56,698","8,254,225","502","62,418","0","$54,746"
"#214","luigi",25,"0","26","0","0","0","0","62,406","0","$54,299"
"#215","node3",25,"0","22","0","0","0","0","62,404","0","$54,297"
"#216","infovore",72,"1,290","2,516","672","113,797,102","2,932,764","10,827","51,054","190","$53,998"
"#217","google",25,"0","37","0","0","0","0","60,955","0","$53,036"
"#218","zahnspange",50.5,"44","173","20","94,849","1,320,811","0","60,433","0","$52,582"
"#219","originate",64.7,"228","664","60","10,438,712","2,404,036","29,478","30,027","10","$51,784"
"#220","hyndai",48,"24","143","58","82,416","246,899","43,054","15,858","54","$51,302"
"#221","boatymcboatface",44.1,"15","381","5","3,715","3,377,853","1","58,866","2","$51,221"
"#222","furion",69.9,"637","3,437","54","57,838,495","4,210,341","10","58,473","377","$51,195"
"#223","mn12defgj1",25,"0","25","0","0","0","25,590","32,684","423","$51,050"
"#224","xeroc",70.4,"941","1,751","38","84,536,037","12,180,393","265","58,155","82","$50,897"
"#225","greenman",61.1,"265","486","56","1,203,029","1,223,912","4,399","52,992","2","$49,937"
"#226","a4i-13e23a94",25,"0","75","0","0","0","57,144","0","0","$49,720"
"#227","nxtblg",62,"1,661","431","322","1,147,295","286,134","0","57,133","0","$49,711"
"#228","signalandnoise",57.5,"513","296","74","861,009","1,007,645","350","56,519","222","$49,664"
"#229","veritassapere",25,"0","26","0","0","10","26,784","29,625","0","$49,081"
"#230","cyber",51.3,"80","331","35","85,145","5,471,237","55,960","9","0","$48,698"
"#231","enable",43.3,"5","37","0","12,115","40,707","0","55,878","1","$48,620"
"#232","meow",25,"0","22","0","0","0","51,474","4,300","0","$48,529"
"#233","liberosist",68.9,"3,377","2,321","2,145","26,457,549","9,430,220","653","54,762","2","$48,217"
"#234","justtryme90",69.9,"6,834","2,106","1,969","26,736,898","1,598,637","0","55,072","151","$48,041"
"#235","busy.pay",25,"0","28","0","0","0","54,907","15","88","$47,860"
"#236","troglodactyl",57.4,"235","202","49","964,516","146,256","1","54,822","166","$47,836"
"#237","inventor16",58,"454","580","68","1,096,248","269,141","9","54,468","0","$47,400"
"#238","fatboy",49.9,"37","182","84","86,038","125,565","1,698","52,483","1","$47,143"
"#239","jaki01",66.2,"2,729","1,388","1,391","6,536,948","977,751","758","53,193","15","$46,955"
"#240","lafona",60.7,"107","285","93","8,874,078","1,811,426","0","53,483","0","$46,535"
"#241","wetroofwoof",25,"0","24","0","0","3,753","53,385","4","0","$46,453"
"#242","redux",25,"1","93","51","18","34,436","37,460","15,853","0","$46,387"
"#243","jl777",62.5,"439","551","11","8,844,558","1,533,016","0","53,171","0","$46,264"
"#244","candyman",25.3,"1","30","0","0","64,752","60","52,276","0","$45,537"
"#245","speda",26.2,"11","358","25","97","2,870,416","0","52,281","4","$45,493"
"#246","bobbylee",41.2,"47","543","188","2,655","3,016,440","19,802","32,438","3","$45,456"
"#247","sandrino",59.7,"233","237","11","1,439,379","47,893","0","52,013","54","$45,300"
"#248","thecryptofiend",74.3,"19,132","4,931","4,646","90,737,596","4,104,959","0","51,861","73","$45,183"
"#249","robert-call",52.7,"201","473","92","200,901","415,499","4,087","47,827","0","$45,170"
"#250","corn113",63.1,"1,586","756","549","3,689,779","981,221","0","50,911","930","$45,059"
"#251","underdog600",25,"1","26","0","0","87,705","2,816","48,941","0","$45,033"
"#252","peacephilpanda",33.2,"2","19","0","0","0","0","51,371","0","$44,698"
"#253","tim1",25,"0","19","0","0","0","0","51,284","0","$44,622"
"#254","ben1",25,"0","49","5","0","3,222","0","51,248","0","$44,591"
"#255","administrator",25,"0","62","0","0","0","623","50,584","0","$44,555"
"#256","superremnant",55.6,"289","342","252","645,477","593,458","0","50,960","0","$44,340"
"#257","dongu",42.8,"24","341","347","38","868,689","0","50,931","0","$44,314"
"#258","steemitblog",69.4,"101","4,388","4","38,907,267","7,657","810","45,252","4,611","$43,855"
"#259","heiditravels",71.4,"870","3,844","93","64,613,560","2,939,427","0","49,838","593","$43,849"
"#260","sponge-bob",63.3,"770","907","778","3,039,751","3,577,788","13,135","36,389","542","$43,534"
"#261","dragonslayer109",71,"1,979","2,097","758","35,012,850","2,561,328","0","48,474","1,256","$43,206"
"#262","mrwalt",59,"831","686","682","1,114,896","145,647","0","49,161","77","$42,838"
"#263","knircky",62.8,"1,620","1,076","1,067","2,237,379","2,034,413","0","48,828","359","$42,779"
"#264","alittle",25,"1","64","0","0","25","46,995","75","2,009","$42,601"
"#265","sochul",69.9,"6,675","1,379","1,264","24,950,240","6,307,265","0","48,502","326","$42,468"
"#266","innuendo",65.5,"1,083","520","46","24,039,894","658,699","800","47,235","104","$41,880"
"#267","greatpath",57.9,"303","185","47","908,941","267,372","0","47,887","0","$41,666"
"#268","zurvanic",52.9,"139","620","13","549,725","78,021","0","47,796","14","$41,599"
"#269","tim2",25,"0","18","0","0","0","63","47,607","0","$41,478"
"#270","bleujay",65.7,"4,900","972","481","4,662,569","1,387,409","49","47,566","46","$41,468"
"#271","dana-edwards",71.7,"2,652","2,274","88","58,111,970","199,451","22,058","22,176","3,544","$41,391"
"#272","ctrl-alt-nwo",50.6,"424","358","381","145,583","87,015","0","47,432","128","$41,374"
"#273","noaommerrr",54.7,"198","143","10","309,026","924,239","2","47,082","212","$41,141"
"#274","geoffrey",59.6,"176","763","670","2,787,212","2,049,648","31","46,433","693","$40,996"
"#275","crypto-p",58.9,"2,934","2,099","2,114","1,729,256","211,076","0","46,768","17","$40,706"
"#276","cloop1",25,"0","189","0","0","12,505","46,266","5","1","$40,261"
"#277","barrie",46.8,"5","98","0","58,314","2,256,956","5,182","40,804","1","$40,013"
"#278","pkattera",59.5,"92","353","123","2,211,617","2,045,237","100","45,268","3","$39,477"
"#279","ssm1810",34.4,"20","210","157","1,164","792,330","0","44,884","1","$39,054"
"#280","puppies",52,"15","53","0","1,974,949","1,128,501","27,504","17,328","0","$39,008"
"#281","jerrybanfield",67.1,"827","7,739","5,402","13,364,229","610,533","0","44,749","0","$38,936"
"#282","kb720k",66.4,"555","422","13","11,089,412","1,653,007","0","44,686","0","$38,881"
"#283","jabbasteem",53.2,"42","114","0","11,374,250","927,570","11,020","33,062","7","$38,361"
"#284","peerplays",66.9,"127","696","3","23,924,665","394,594","8,682","33,954","966","$37,888"
"#285","jamesbrown",60.2,"1,513","611","300","951,508","2,518,710","0","43,235","0","$37,619"
"#286","eclipse1",25,"0","25","0","0","0","0","43,192","0","$37,581"
"#287","void",65.4,"222","328","22","32,274,966","29,827","7","42,031","1,078","$37,460"
"#288","sjmstem",25,"7","40","0","162","305,114","0","43,038","0","$37,447"
"#289","kus-knee",71.2,"8,108","1,815","936","35,058,109","1,349,026","0","41,460","1,387","$37,210"
"#290","clains",68.2,"751","1,315","26","43,835,618","1,088,859","20,559","22,160","0","$37,169"
"#291","novina",57.4,"548","273","15","1,101,463","821,750","57","42,391","0","$36,934"
"#292","woo7739",66.1,"4,546","1,326","1,307","4,920,833","1,341,456","280","41,825","273","$36,859"
"#293","hasoon",47.4,"28","85","4","46,285","17,708","20","42,337","0","$36,854"
"#294","tim3",25,"0","18","0","0","0","0","42,174","0","$36,695"
"#295","erath",55,"73","107","2","233,048","2,849,096","0","42,028","0","$36,568"
"#296","gilead",25,"0","22","0","0","17,132","7,623","34,384","0","$36,550"
"#297","asmolokalo",52.1,"534","1,321","1,260","16,772","2,227,278","0","40,739","1,305","$36,515"
"#298","jyp",55.9,"454","332","50","553,299","1,518,117","4,624","37,174","135","$36,479"
"#299","marginal",55,"80","96","0","1,127,595","2,084,123","0","41,891","0","$36,449"
"#300","noisy",63.3,"1,675","1,617","816","6,794,373","681,277","0","41,588","283","$36,417"
"#301","pfunk",72.5,"5,903","2,800","2,111","86,464,618","11,280,295","1,288","40,476","65","$36,392"
"#302","enervate",25,"0","23","0","0","0","0","40,929","0","$35,612"
"#303","behappy7",44.4,"30","222","64","28,832","470,539","0","40,708","0","$35,420"
"#304","skt",56,"321","170","31","585,900","755,230","0","40,415","133","$35,273"
"#305","tim5",25,"0","4","0","0","0","0","40,499","0","$35,237"
"#306","ghwang2888",25,"0","2","0","0","14","0","40,476","0","$35,218"
"#307","ats-david",72.9,"3,940","3,391","2,726","71,198,989","8,150,167","4,053","34,641","1,708","$35,066"
"#308","helikopterben",59.6,"137","258","42","1,043,904","583,405","0","40,296","1","$35,062"
"#309","cob",59.7,"141","513","7","1,811,404","32,864","0","40,263","0","$35,032"
"#310","kimjungmin",41.6,"34","78","59","22,592","4,883","0","40,209","0","$34,985"
"#311","moses153",25,"0","2","0","0","1,641","0","40,163","0","$34,945"
