"#","Name","Symbol","Market Cap","Price","Available Supply","Volume (24h)","% 1h","% 24h","% 7d","date","market_cap"
9,"Freicoin","FRC","$ 273,830","$ 0.012179","22,483,949","Low Vol","-0.47 %","2.20 %","53.00 %",2013-07-14," $ 1,161,533,234 "
10,"Digitalcoin","DGC","$ 269,383","$ 0.057069","4,720,336","Low Vol","-0.31 %","6.05 %","212.34 %",2013-07-14," $ 1,161,533,234 "
1,"Bitcoin","BTC","$ 1,030,302,685","$ 90.05","11,441,998","Low Vol","-0.02 %","-2.08 %","-6.22 %",2013-07-21," $ 1,097,986,517 "
2,"Litecoin","LTC","$ 56,494,034","$ 2.88","19,587,148","Low Vol","-0.04 %","-2.35 %","1.56 %",2013-07-21," $ 1,097,986,517 "
3,"Namecoin","NMC","$ 2,986,067","$ 0.492567","6,062,256","Low Vol","-0.23 %","-5.13 %","-8.70 %",2013-07-21," $ 1,097,986,517 "
4,"Peercoin","PPC","$ 2,884,121","$ 0.146453","19,693,166","Low Vol","-0.30 %","-3.41 %","-0.31 %",2013-07-21," $ 1,097,986,517 "
5,"Novacoin","NVC","$ 1,181,896","$ 3.79","312,167","Low Vol","-0.02 %","-2.75 %","-6.97 %",2013-07-21," $ 1,097,986,517 "
6,"Primecoin","XPM","$ 1,054,545","$ 0.972539","1,084,322","Low Vol","1.32 %","-7.04 %","207.39 %",2013-07-21," $ 1,097,986,517 "
7,"Feathercoin","FTC","$ 862,195","$ 0.079909","10,789,725","Low Vol","-0.02 %","-0.91 %","-6.12 %",2013-07-21," $ 1,097,986,517 "
8,"Terracoin","TRC","$ 491,422","$ 0.151132","3,251,619","Low Vol","-0.17 %","-2.36 %","-5.23 %",2013-07-21," $ 1,097,986,517 "
9,"Devcoin","DVC","$ 251,300","$ 0.000051","4,911,657,920","Low Vol","0.27 %","-6.84 %","-28.26 %",2013-07-21," $ 1,097,986,517 "
10,"Freicoin","FRC","$ 242,747","$ 0.010692","22,704,150","Low Vol","-0.10 %","-4.12 %","-12.21 %",2013-07-21," $ 1,097,986,517 "
1,"Bitcoin","BTC","$ 1,088,425,993","$ 94.88","11,471,075","Low Vol","0.13 %","0.42 %","5.37 %",2013-07-28," $ 1,157,533,984 "
2,"Litecoin","LTC","$ 56,955,311","$ 2.87","19,822,693","Low Vol","0.03 %","-0.15 %","-0.38 %",2013-07-28," $ 1,157,533,984 "
3,"Namecoin","NMC","$ 3,532,456","$ 0.577572","6,116,044","Low Vol","-0.37 %","-0.73 %","17.26 %",2013-07-28," $ 1,157,533,984 "
4,"Peercoin","PPC","$ 2,599,159","$ 0.131577","19,753,893","Low Vol","-0.06 %","-0.38 %","-10.16 %",2013-07-28," $ 1,157,533,984 "
5,"Novacoin","NVC","$ 1,964,973","$ 5.98","328,681","Low Vol","0.39 %","0.72 %","57.90 %",2013-07-28," $ 1,157,533,984 "
6,"Feathercoin","FTC","$ 957,163","$ 0.083232","11,500,004","Low Vol","-0.25 %","-2.27 %","4.16 %",2013-07-28," $ 1,157,533,984 "
7,"Primecoin","XPM","$ 892,922","$ 0.720552","1,239,220","Low Vol","-0.16 %","3.07 %","-25.91 %",2013-07-28," $ 1,157,533,984 "
