"#","Name","Symbol","Market Cap","Price","Available Supply","Volume (24h)","% 1h","% 24h","% 7d","date","market_cap"
3,"Ripple","XRP","$ 43,914,009","$ 0.005617","7,817,889,792
                    
                    
                        *","Low Vol","0.19 %","7.92 %","-3.18 %",2013-08-25," $ 1,511,079,284 "
4,"Namecoin","NMC","$ 3,987,351","$ 0.622392","6,406,490","Low Vol","0.05 %","1.24 %","-8.25 %",2013-08-25," $ 1,511,079,284 "
5,"Peercoin","PPC","$ 3,411,476","$ 0.169957","20,072,578","Low Vol","0.18 %","1.19 %","2.21 %",2013-08-25," $ 1,511,079,284 "
6,"Feathercoin","FTC","$ 1,878,162","$ 0.131236","14,311,371","Low Vol","-0.04 %","-1.44 %","-10.85 %",2013-08-25," $ 1,511,079,284 "
7,"Novacoin","NVC","$ 1,750,563","$ 4.75","368,220","Low Vol","0.06 %","0.28 %","-9.82 %",2013-08-25," $ 1,511,079,284 "
8,"Primecoin","XPM","$ 1,331,930","$ 0.763131","1,745,349","Low Vol","-0.51 %","-4.57 %","-12.06 %",2013-08-25," $ 1,511,079,284 "
9,"Terracoin","TRC","$ 638,837","$ 0.175165","3,647,061","Low Vol","0.07 %","-0.12 %","-8.29 %",2013-08-25," $ 1,511,079,284 "
10,"Infinitecoin","IFC","$ 389,915","$ 0.000005","74,850,074,624","Low Vol","-1.13 %","-9.77 %","24.42 %",2013-08-25," $ 1,511,079,284 "
1,"Bitcoin","BTC","$ 1,589,957,596","$ 136.65","11,635,675","Low Vol","0.11 %","2.36 %","13.53 %",2013-09-01," $ 1,703,496,657 "
2,"Litecoin","LTC","$ 54,179,154","$ 2.60","20,845,933","Low Vol","0.09 %","-2.45 %","-2.81 %",2013-09-01," $ 1,703,496,657 "
3,"Ripple","XRP","$ 44,281,968","$ 0.005664","7,817,889,792
                    
                    
                        *","Low Vol","0.03 %","-4.22 %","0.84 %",2013-09-01," $ 1,703,496,657 "
4,"Namecoin","NMC","$ 3,732,293","$ 0.575826","6,481,628","Low Vol","-0.05 %","-3.80 %","-7.48 %",2013-09-01," $ 1,703,496,657 "
5,"Peercoin","PPC","$ 3,614,156","$ 0.179534","20,130,787","Low Vol","-0.09 %","1.34 %","5.63 %",2013-09-01," $ 1,703,496,657 "
6,"Feathercoin","FTC","$ 2,285,432","$ 0.153361","14,902,317","Low Vol","-0.02 %","-2.54 %","16.86 %",2013-09-01," $ 1,703,496,657 "
7,"Novacoin","NVC","$ 1,491,014","$ 3.92","380,844","Low Vol","0.16 %","-0.72 %","-17.65 %",2013-09-01," $ 1,703,496,657 "
8,"Primecoin","XPM","$ 1,013,297","$ 0.543887","1,863,064","Low Vol","-0.16 %","-3.36 %","-28.73 %",2013-09-01," $ 1,703,496,657 "
9,"Terracoin","TRC","$ 652,485","$ 0.178399","3,657,447","Low Vol","0.07 %","-2.62 %","1.85 %",2013-09-01," $ 1,703,496,657 "
10,"Infinitecoin","IFC","$ 341,210","$ 0.000004","75,965,482,780","Low Vol","-0.23 %","-20.58 %","-13.78 %",2013-09-01," $ 1,703,496,657 "
1,"Bitcoin","BTC","$ 1,442,647,804","$ 123.65","11,667,653","Low Vol","-0.08 %","2.27 %","-9.51 %",2013-09-08," $ 1,563,491,511 "
2,"Litecoin","LTC","$ 56,870,085","$ 2.70","21,047,710","Low Vol","0.02 %","-0.15 %","3.96 %",2013-09-08," $ 1,563,491,511 "
3,"Ripple","XRP","$ 48,870,604","$ 0.006251","7,817,889,792
                    
                    
                        *","Low Vol","0.07 %","4.74 %","10.36 %",2013-09-08," $ 1,563,491,511 "
4,"Peercoin","PPC","$ 3,918,502","$ 0.193666","20,233,303","Low Vol","-0.12 %","3.55 %","7.87 %",2013-09-08," $ 1,563,491,511 "
5,"Namecoin","NMC","$ 3,825,395","$ 0.583993","6,550,417","Low Vol","0.07 %","2.18 %","1.42 %",2013-09-08," $ 1,563,491,511 "
6,"Feathercoin","FTC","$ 2,087,319","$ 0.135289","15,428,554","Low Vol","-0.19 %","0.65 %","-11.78 %",2013-09-08," $ 1,563,491,511 "
7,"Novacoin","NVC","$ 1,431,006","$ 3.69","388,320","Low Vol","-0.13 %","1.38 %","-5.87 %",2013-09-08," $ 1,563,491,511 "
8,"Primecoin","XPM","$ 1,038,776","$ 0.525709","1,975,952","Low Vol","-0.04 %","-6.56 %","-3.34 %",2013-09-08," $ 1,563,491,511 "
9,"Terracoin","TRC","$ 618,767","$ 0.168585","3,670,357","Low Vol","0.02 %","-0.20 %","-5.50 %",2013-09-08," $ 1,563,491,511 "
10,"Devcoin","DVC","$ 253,395","$ 0.000048","5,240,804,092","Low Vol","-0.19 %","-0.41 %","-7.64 %",2013-09-08," $ 1,563,491,511 "
1,"Bitcoin","BTC","$ 1,510,866,848","$ 129.11","11,702,489","Low Vol","0.06 %","-3.29 %","4.42 %",2013-09-15," $ 1,631,369,960 "
2,"Litecoin","LTC","$ 55,738,302","$ 2.62","21,239,465","Low Vol","0.35 %","-0.55 %","-2.87 %",2013-09-15," $ 1,631,369,960 "
3,"Ripple","XRP","$ 50,021,778","$ 0.006398","7,817,889,792
                    
                    
                        *","Low Vol","0.15 %","0.18 %","2.36 %",2013-09-15," $ 1,631,369,960 "
4,"Namecoin","NMC","$ 3,901,776","$ 0.590101","6,612,051","Low Vol","0.20 %","-2.42 %","1.05 %",2013-09-15," $ 1,631,369,960 "
5,"Peercoin","PPC","$ 3,889,404","$ 0.191586","20,301,065","Low Vol","-0.07 %","-5.06 %","-1.07 %",2013-09-15," $ 1,631,369,960 "
6,"Feathercoin","FTC","$ 2,100,327","$ 0.130461","16,099,263","Low Vol","0.06 %","-1.81 %","-3.57 %",2013-09-15," $ 1,631,369,960 "
7,"Novacoin","NVC","$ 1,405,090","$ 3.55","395,581","Low Vol","0.13 %","-2.23 %","-3.61 %",2013-09-15," $ 1,631,369,960 "
8,"Primecoin","XPM","$ 681,837","$ 0.327926","2,079,238","Low Vol","0.66 %","-2.11 %","-37.62 %",2013-09-15," $ 1,631,369,960 "
9,"Terracoin","TRC","$ 664,873","$ 0.178164","3,731,812","Low Vol","-0.18 %","-3.27 %","5.68 %",2013-09-15," $ 1,631,369,960 "
10,"Crypto Bullion","CBX","$ 263,204","$ 0.341032","771,786","Low Vol","0.18 %","-9.21 %","8.38 %",2013-09-15," $ 1,631,369,960 "
1,"Bitcoin","BTC","$ 1,501,079,003","$ 127.93","11,733,985","Low Vol","0.05 %","0.47 %","-0.91 %",2013-09-22," $ 1,647,606,831 "
2,"Ripple","XRP","$ 77,637,181","$ 0.009931","7,817,889,792
                    
                    
                        *","Low Vol","0.34 %","0.82 %","55.21 %",2013-09-22," $ 1,647,606,831 "
3,"Litecoin","LTC","$ 54,186,713","$ 2.53","21,445,682","Low Vol","0.04 %","0.12 %","-3.72 %",2013-09-22," $ 1,647,606,831 "
4,"Peercoin","PPC","$ 3,877,023","$ 0.190410","20,361,491","Low Vol","0.06 %","0.93 %","-0.61 %",2013-09-22," $ 1,647,606,831 "
5,"Namecoin","NMC","$ 3,802,439","$ 0.568915","6,683,670","Low Vol","0.00 %","-0.66 %","-3.59 %",2013-09-22," $ 1,647,606,831 "
6,"Feathercoin","FTC","$ 1,955,130","$ 0.116643","16,761,652","Low Vol","0.04 %","0.16 %","-10.59 %",2013-09-22," $ 1,647,606,831 "
7,"Novacoin","NVC","$ 1,590,378","$ 3.95","403,099","Low Vol","0.26 %","15.78 %","11.08 %",2013-09-22," $ 1,647,606,831 "
8,"Primecoin","XPM","$ 691,037","$ 0.316745","2,181,681","Low Vol","0.15 %","-1.25 %","-3.41 %",2013-09-22," $ 1,647,606,831 "
9,"Terracoin","TRC","$ 640,906","$ 0.168115","3,812,298","Low Vol","0.38 %","4.27 %","-5.64 %",2013-09-22," $ 1,647,606,831 "
10,"Crypto Bullion","CBX","$ 274,521","$ 0.345647","794,224","Low Vol","-0.60 %","-7.86 %","1.35 %",2013-09-22," $ 1,647,606,831 "
1,"Bitcoin","BTC","$ 1,625,405,516","$ 138.13","11,767,518","Low Vol","0.25 %","3.38 %","7.97 %",2013-09-29," $ 1,801,705,443 "
2,"Ripple","XRP","$ 110,055,578","$ 0.014077","7,817,889,792
                    
                    
                        *","Low Vol","0.10 %","-1.11 %","41.76 %",2013-09-29," $ 1,801,705,443 "
3,"Litecoin","LTC","$ 50,513,256","$ 2.33","21,648,465","Low Vol","0.38 %","-0.49 %","-7.65 %",2013-09-29," $ 1,801,705,443 "
4,"Peercoin","PPC","$ 5,211,091","$ 0.255102","20,427,476","Low Vol","-0.35 %","5.17 %","33.98 %",2013-09-29," $ 1,801,705,443 "
5,"Namecoin","NMC","$ 3,493,140","$ 0.510699","6,839,915","Low Vol","-0.01 %","-1.98 %","-10.23 %",2013-09-29," $ 1,801,705,443 "
6,"Feathercoin","FTC","$ 1,964,337","$ 0.112262","17,497,782","Low Vol","0.52 %","-1.00 %","-3.76 %",2013-09-29," $ 1,801,705,443 "
7,"Novacoin","NVC","$ 1,604,767","$ 3.90","411,644","Low Vol","0.23 %","1.05 %","-1.19 %",2013-09-29," $ 1,801,705,443 "
